team,season,wins,losses,win_pct,pts_per_game,fg_pct,three_pt_pct,three_pt_attempts,off_reb,def_reb,total_reb,assists,turnovers,blocks
Chicago Bulls,2022-23,40,42,0.488,113.1,0.49,0.361,28.9,8.5,33.9,42.4,24.5,13.4,4.5
Cleveland Cavaliers,2022-23,51,31,0.622,112.3,0.488,0.367,31.6,9.7,31.4,41.1,24.9,13.3,4.7
Dallas Mavericks,2022-23,38,44,0.463,114.2,0.475,0.371,41.0,7.6,31.2,38.8,22.9,12.2,3.7
Denver Nuggets,2022-23,53,29,0.646,115.8,0.504,0.379,31.2,10.1,32.9,43.0,28.9,14.5,4.5
Detroit Pistons,2022-23,17,65,0.207,110.3,0.454,0.351,32.4,11.2,31.3,42.4,23.0,15.1,3.8
Golden State Warriors,2022-23,44,38,0.537,118.9,0.479,0.385,43.2,10.5,34.1,44.6,29.8,16.3,4.0
Houston Rockets,2022-23,22,60,0.268,110.7,0.457,0.327,31.9,13.4,32.9,46.3,22.4,16.2,4.6
Indiana Pacers,2022-23,35,47,0.427,116.3,0.469,0.367,37.0,10.1,31.4,41.5,27.0,14.9,5.8
LA Clippers,2022-23,44,38,0.537,113.6,0.477,0.381,33.3,9.8,33.4,43.2,23.9,14.2,4.4
Los Angeles Lakers,2022-23,43,39,0.524,117.2,0.482,0.346,31.2,10.0,35.7,45.7,25.3,14.1,4.6
Memphis Grizzlies,2022-23,51,31,0.622,116.9,0.475,0.351,34.2,12.0,34.6,46.6,26.0,13.6,5.8
Miami Heat,2022-23,44,38,0.537,109.5,0.46,0.344,34.8,9.7,30.9,40.6,23.8,13.5,3.0
Milwaukee Bucks,2022-23,58,24,0.707,116.9,0.473,0.368,40.3,11.1,37.5,48.6,25.8,14.6,4.9
Minnesota Timberwolves,2022-23,42,40,0.512,115.8,0.49,0.365,33.3,9.1,32.8,41.9,26.2,15.3,5.4
New Orleans Pelicans,2022-23,42,40,0.512,114.4,0.48,0.364,30.1,10.6,33.1,43.7,25.9,14.6,4.1
New York Knicks,2022-23,47,35,0.573,116.0,0.47,0.354,35.7,12.6,34.0,46.6,22.9,13.0,4.1
Oklahoma City Thunder,2022-23,40,42,0.488,117.5,0.465,0.356,34.1,11.4,32.3,43.7,24.4,13.0,4.2
Orlando Magic,2022-23,34,48,0.415,111.4,0.47,0.346,31.1,10.2,33.1,43.2,23.2,15.1,4.7
Philadelphia 76ers,2022-23,54,28,0.659,115.2,0.487,0.387,32.6,8.7,32.2,40.9,25.2,13.7,4.7
Phoenix Suns,2022-23,45,37,0.549,113.6,0.467,0.374,32.6,11.8,32.4,44.2,27.3,13.5,5.3
